AQSID,Parameter_name,Site_code,Site_name,Status,Agency_ID,Agency_name,EPA_region,Latitude,Longitude,Elevation,GMT_offset,Country_code,MSA_code,MSA_name,State_code,State_name,County_code,County_name,Extra_fields,Monitoring_Site_ID
370510009,PM2.5,0009,W OWEN SCH,Active,NC1,North Carolina DEQ - Division of Air Quality,R4,35.041416,-78.953112,61,-5,US,22180,"Fayetteville, NC",37,NC,051,CUMBERLAND,|,37-051-0009
471631007,PM2.5,1007,Kingsport,Active,TN1,Tennessee Air Pollution Control Div.,R4,36.5408,-82.5217,0,-5,US,28700,"Kingsport-Bristol-Bristol, TN-VA",47,TN,163,SULLIVAN,|,47-163-1007
400710604,PM2.5,0604,Ponca City,Active,OK1,Oklahoma Department of Environmental Quality,R6,36.697189,-97.081278,0,-6,US,38620,"Ponca City, OK",40,OK,071,KAY,|,40-071-0604
181050003,PM2.5,0003,Bloomington - Binford,Active,IN4,Indiana Dept. of Environmental Management,R5,39.159372,-86.504747,250.1,-5,US,14020,"Bloomington, IN",18,IN,105,MONROE,|,18-105-0003
390610006,PM2.5,0006,Sycamore,Active,OH1,Ohio EPA-DAPC,R5,39.2787,-84.36612,298.9,-5,US,17140,"Cincinnati-Middletown, OH-KY-IN",39,OH,061,HAMILTON,|,39-061-0006
390350073,PM2.5,0073,Cleveland Near Road,Active,OH1,Ohio EPA-DAPC,R5,41.4409,-81.4949,0,-5,US,17460,"Cleveland-Elyria-Mentor, OH",39,OH,035,CUYAHOGA,|,39-035-0073
390350034,PM2.5,0034,District 6,Active,OH1,Ohio EPA-DAPC,R5,41.55523,-81.575256,0,-5,US,17460,"Cleveland-Elyria-Mentor, OH",39,OH,035,CUYAHOGA,|,39-035-0034
560450003,PM2.5,0003,NewCastle,Active,BLW,Bureau of Land Management - Wyoming,R8,43.881401,-104.191902,1438.4,-7,US,NA,NA,56,WY,045,WESTON,|,56-045-0003
840410170116,PM2.5,0116,Bend Pine Ridge Elementary School,Active,OR1,Oregon Dept. of Environmental Quality,R10,44.024283,-121.330964,1166.6,-8,US,13460,"Bend, OR",41,OR,017,DESCHUTES,|,41-017-0116
840410450001,PM2.5,0001,Ontario May Roberts Elementary School,Active,OR1,Oregon Dept. of Environmental Quality,R10,44.033365,-116.9697,655.1,-8,US,NA,NA,41,OR,045,MALHEUR,|,41-045-0001
